src,dst,time
1086,886,timestamp1
79,1363,timestamp1
79,103,timestamp1
414,191,timestamp1
1086,274,timestamp1
14,1364,timestamp1
1083,104,timestamp1
414,533,timestamp1
1086,687,timestamp1
31,1364,timestamp1
47,105,timestamp1
414,136,timestamp1
1086,889,timestamp1
135,1365,timestamp1
79,105,timestamp1
414,269,timestamp1
1086,1493,timestamp1
1366,299,timestamp1
79,106,timestamp1
414,534,timestamp1
1086,1495,timestamp1
2,1366,timestamp1
66,107,timestamp1
414,664,timestamp1
1086,883,timestamp1
169,1367,timestamp1
55,108,timestamp1
414,537,timestamp1
1086,1507,timestamp1
1368,79,timestamp1
62,109,timestamp1
414,740,timestamp1
1086,690,timestamp1
47,1368,timestamp1
123,110,timestamp1
414,728,timestamp1
1086,887,timestamp1
62,1369,timestamp1
62,111,timestamp1
114,414,timestamp1
222,1086,timestamp1
1033,1370,timestamp1
14,112,timestamp1
89,414,timestamp1
2,1087,timestamp1
14,1371,timestamp1
20,113,timestamp1
70,415,timestamp1
20,1088,timestamp1
66,1371,timestamp1
2,114,timestamp1
47,416,timestamp1
169,1089,timestamp1
23,1372,timestamp1
79,114,timestamp1
96,416,timestamp1
2,1090,timestamp1
70,1372,timestamp1
2,115,timestamp1
55,417,timestamp1
79,1091,timestamp1
1083,1373,timestamp1
37,116,timestamp1
17,417,timestamp1
85,1092,timestamp1
254,1374,timestamp1
8,116,timestamp1
20,417,timestamp1
20,1093,timestamp1
62,1375,timestamp1
31,117,timestamp1
17,418,timestamp1
79,1094,timestamp1
169,1376,timestamp1
20,118,timestamp1
254,419,timestamp1
47,1095,timestamp1
23,1377,timestamp1
20,119,timestamp1
62,420,timestamp1
79,1095,timestamp1
60,1378,timestamp1
76,119,timestamp1
85,421,timestamp1
2,1096,timestamp1
96,1379,timestamp1
31,120,timestamp1
60,421,timestamp1
2,1097,timestamp1
79,1379,timestamp1
55,121,timestamp1
14,422,timestamp1
20,1098,timestamp1
1380,1394,timestamp1
20,121,timestamp1
719,423,timestamp1
31,1099,timestamp1
1380,1333,timestamp1
20,122,timestamp1
31,423,timestamp1
1100,512,timestamp1
14,1381,timestamp1
76,122,timestamp1
254,424,timestamp1
1100,849,timestamp1
